OPDEF1,count(1)
HMS Enterprise ME 04-23,1
HMS HURWORTH ME 71-22,1
HMS LANC OPDEF WE 14-23,1
HMS LANC WE 16-23,1
HMS LANC WE OPDEF 23-23,1
HMS MERSEY ME22-23 (C3),1
HMS MRSY OPDEF ME 26-20,4
HMS MTRO ME 116 &117-20,1
HMS MTRO WE 27-22,1
HMS NORT ME OPDEF 72-21,1
HMS PEMB ME OPDEF 02-21,1
HMS PEMB ME39-20,1
HMS PORTLAND WE 32-22,1
HMS PORTLOP OPDEF 11-22,1
HMS PRTR OPDEF ME 53-23,1
HMS PTLD WE OPDEF 59-22,1
HMS PWLS Opdef WE 21-20,1
HMS PWLS WE 03-20,1
HMS QNLZ OPDEF ME106-21,1
HMS SOMERSET WE 72-22,1
HMS SOMERSET WE 74-22,1
HMS TAMAR ME 13-21,1
HMS WSTR WE 03-22,1
HMSALBN OPDEF WE072-19 ,1
HMSALBN WEOPDEF 081-19,1
HMSDMND ME 40-23,1
HMSIRDK WE 16-23,1
HMSKENT-ME 62-22,1
HMSMDWY OPDEF 08-23 B2,1
HMSMDWY OPDEF WE 21-23 ,1
HMSMTRO OPDEF WE 37-22,1
HMSPTLD WE OPDEF 21-21,1
HMSQNLZ OPDEF WE3 6-21 ,1
HURW OPDEF ME 35-22,2
HURW OPDEF ME 40-22,1
Hurw ME 61-22,1
ISCSLU0000000069,2800
ISCSLU0000000069000109,2
ISCSLU0000000069000110,1
ISCSLU0000000069000112,2
ISCSLU0000000069000113,2
ISCSLU0000000069000209,1
ISCSLU0000000069000210,1
ISCSLU0000000069000211,1
ISCSLU0000000069000310,1
ISCSLU0000000069000312,1
ISCSLU0000000069000410,1
ISCSLU0000000069000411,1
ISCSLU0000000069000412,1
ISCSLU0000000069000413,1
ISCSLU0000000069000510,1
ISCSLU0000000069000511,1
ISCSLU0000000069000512,1
ISCSLU0000000069000610,1
ISCSLU0000000069000612,3
ISCSLU0000000069000709,1
ISCSLU0000000069000711,1
ISCSLU0000000069000712,2
ISCSLU0000000069000810,1
ISCSLU0000000069000812,1
ISCSLU0000000069000911,1
ISCSLU0000000069001011,2
ISCSLU0000000069001012,1
ISCSLU0000000069001111,1
ISCSLU0000000069001210,1
ISCSLU0000000069001211,1
ISCSLU0000000069001213,1
ISCSLU0000000069001310,1
ISCSLU0000000069001311,4
ISCSLU0000000069001312,1
ISCSLU0000000069001313,1
ISCSLU0000000069001410,1
ISCSLU0000000069001413,2
ISCSLU0000000069001511,1
ISCSLU0000000069001512,3
ISCSLU0000000069001610,2
ISCSLU0000000069001611,2
ISCSLU0000000069001710,1
ISCSLU0000000069001711,2
ISCSLU0000000069001810,2
ISCSLU0000000069001812,1
ISCSLU0000000069001813,1
ISCSLU0000000069001910,1
ISCSLU0000000069001911,3
ISCSLU0000000069001912,3
ISCSLU0000000069002010,1
ISCSLU0000000069002011,1
ISCSLU0000000069002110,1
ISCSLU0000000069002111,2
ISCSLU0000000069002112,1
ISCSLU0000000069002210,2
ISCSLU0000000069002211,1
ISCSLU0000000069002310,2
ISCSLU0000000069002311,2
ISCSLU0000000069002313,1
ISCSLU0000000069002410,2
ISCSLU0000000069002411,1
ISCSLU0000000069002413,1
ISCSLU0000000069002510,1
ISCSLU0000000069002610,1
ISCSLU0000000069002611,3
ISCSLU0000000069002613,1
ISCSLU0000000069002710,1
ISCSLU0000000069002711,2
ISCSLU0000000069002712,1
ISCSLU0000000069002713,1
ISCSLU0000000069002810,2
ISCSLU0000000069002811,2
ISCSLU0000000069002910,1
ISCSLU0000000069002911,2
ISCSLU0000000069002912,1
ISCSLU0000000069003003,1
ISCSLU0000000069003010,2
ISCSLU0000000069003011,2
ISCSLU0000000069003110,1
ISCSLU0000000069003111,3
ISCSLU0000000069003112,1
ISCSLU0000000069003210,1
ISCSLU0000000069003211,1
ISCSLU0000000069003310,2
ISCSLU0000000069003311,1
ISCSLU0000000069003410,2
ISCSLU0000000069003411,2
ISCSLU0000000069003412,1
ISCSLU0000000069003510,1
ISCSLU0000000069003511,1
ISCSLU0000000069003512,1
ISCSLU0000000069003610,1
ISCSLU0000000069003611,2
ISCSLU0000000069003710,2
ISCSLU0000000069003711,2
ISCSLU0000000069003810,2
ISCSLU0000000069003811,1
ISCSLU0000000069003910,1
ISCSLU0000000069003911,1
ISCSLU0000000069004010,1
ISCSLU0000000069004011,3
ISCSLU0000000069004012,1
ISCSLU0000000069004110,1
ISCSLU0000000069004111,1
ISCSLU0000000069004210,5
ISCSLU0000000069004211,1
