LEVEL_1_DESC
AMBULANCE
ARTY
AS90
ATV
BCIP
BULLDOG
BV206
C VEHICLE
COMMUNICATIONS
CR ARRV
CR VARIANT
CV(T) STORMER
CVR(T)
DIVING
DROPS
EBS ITEM
ELEVATION MASS
ENGINEER
ENGINEERING
EOD
FALCON
HET
INFRA
JAMES
MEDICAL
MISC
MLRS
ORDNANCE
ORDNANCE 105MM
PANTHER
PLANT
PM
POWER
RADAR
REACHER
SHACKLE
SMALL ARMS
SV
SV 15T 8X8
SV 6T 4X4
TERRIER
TUHD
TUM
TUM HD
VTF AFV
WARRIOR
WF
WHEELED TANKER
