CAPABILITY_GRP
E. Communications
N. Survivability
P. Special Equipment/System
R. Training
C. Armaments
"S. Repair, Test & Support"
M. Auxiliary
L. Electronic Systems
J. Ventilation/Air Conditioning
D. Electrical Systems
