COUNTER
TX Time (Hrs)
Track Odo
ECM (PP) HRS
Flying Hours
Immersions
month
DbW Hrs
Hrs
Starts
""
EFC
ROCK FRD
ann
Arrests
Odo
Mines
Mixer Eng Hrs Ctr
Rds Total CR2
d
Rounds Fired
week
Cycles
APU Hrs
CUT AWAYS
Launch/Recs
Launch
Minutes
SCR
DESCENTS
PULSES
Rds NC/K CR2
Engine Hours
Risk
Rds Total AS90
Rds Total LT GUN
Flights
