COMMITTEE_DECISION
Declared to Disposal Agency for Reduced to Scrap
""
Authority for Gifting Granted
Authority for Spares Salvage Prior to Sale
Training Aid Use Granted
Declared to Disposal Agency for Sales
Rejected Equipment to be Repaired
Authority for Spares Salvage Prior to Scrap
