FAULT_CLOSED_BY_RANK
""
Able Rating
Air Chief Marshal
Air Recruit
Air Specialist (Class 1) 
Air Specialist (Class 1) Technician 
Air Specialist (Class 2) 
Airtrooper
Bombardier
Brigadier
C1
C2
Cadet
Captain
Chief Petty Officer
Chief Technician
Civilian
Colour Sergeant
Colour Serjeant
Corporal
Corporal of Horse
Craftsman
D
E1
E2
Flight Lieutenant
Flight Sergeant
Flying Officer
Fusilier
Guardsman
Gunner
Junior Technician
Kingsman
Lance Bombardier
Lance Corporal
Lance Corporal of Horse
Lance Serjeant
Leading Hand
Lieutenant
Lieutenant (RN)
Major
Marine
Miss
Mr
Mrs
Ms
Other
Petty Officer
Private
Professional I
Professional II
Ranger
Rifleman
Sapper
Second Lieutenant
Senior Admin Specialist 42
Sergeant
Serjeant
Signaller
Squadron Corporal Major
Squadron Leader
Staff Corporal
Staff Sergeant
Trooper
Warrant Officer
Warrant Officer Class 1
Warrant Officer Class 2
