RANK
""
2Lt
AB
AR
AS1
AS1(T)
AS2
AVM
Air Cdre
Air Chf Mshl
Air Mshl
Airtpr
B2
Bdr
Bdsm
Brig
C1
C2
COH
CPO
CSgt
CSjt
Capt
Capt (GCO)
Capt (QGO)
Capt RN
Cdr
Cdre
Cdt
Cfn
Chf Tech
Chpln Chf
Chpln Gen
Chpln of the Fleet
Civilian
CoH
Col
Cpl
D
DE&S Appr
DE&S Eng Grad
Dvr
E1
E2
FS
Fg Off
Flt Lt
Fus
Gdsmn
Gen
Gnr
Gp Capt
Hldr
Jnr Tech
Kgn
LBdr
LCOH
LCoH
LCpl
LH
LSjt
Lt
Lt (QGO)
Lt Cdr
Lt Col
Lt Gen
Lt RN
MACR
Maj
Maj (GCO)
Maj (QGO)
Maj Gen
Mid
Miss
Mne
Mr
Mrs
Ms
Musn
OCdt
Other
PO
Plt Off
Prof I
Prof II
Pte
R Adm
RN Chpln
Revd (Capt)
Revd (Flt Lt)
Revd (Lt Col)
Revd (Maj)
Revd (Sqn Ldr)
Revd (Wg Cdr)
Rfn
Rgr
Rngr
S Prof
SAS 37
SAS 42
SCM
SCpl
SLt
SSgt
Sgt
Sig
Sjt
Spr
Sqn Ldr
Surg Capt RN
Surg Cdr
Surg Cdre
Surg Lt Cdr
Surg Lt RN
Surg SLt
Tpr
WO
WO1
WO2
Wg Cdr
