MAINT_ENVIRONMENT_NAME
93X Temperate No Use
AHQ CIS Maint Trial
Air
Arctic
Arctic FMT93X
Area Maintenance
BATUK
CDG ADR Ex II
CDG ADR Ex II Ops
CDG ADR Tanks
CDG ADR Tanks Germny
CDG ADR Tanks Ops 
CDG ADR Tanks UK
CDG IMO Tanks
CDG IMO Tanks FDR
CDG Old Ex II
Closed CHE
Desert
Desert FMT93X
Disposal
FMT 932 Op Reqt
Falklands
Gibraltar
Maritime
Mileage Based Maint
NAIF
Out Of Use
Special Regime
Temperate
Temperate FMT93X
Training Regime
Tropical
Tropical FMT93X
