EQUIPMENT_FAMILY_GROUP
Maintenance Support Equipment
Maritime
"Parachutes; Aerial Pick Up, Delivery, Recovery, Air Cargo Tiedown"
Infrastructure Support
Communications
CBRN Equipment
Training Aids and Devices
"Weapons, Surveillance, Target Acquisition & Navigation Equipment"
Ground Effect Vehicles
EBS Items
Ground Support Equipment GSE
"Medical, Dental and Veterinary Devices"
