CAPABILITY_GROUP
E. Communications
 HOISTING
N. Survivability
F. Navigation
P. Special Equipment/System
Common
S. Repair
B. Structure
H. Steering
K. Hydraulic System
 VIU
R. Training
COMMANDER
C. Armaments
G. Surveillance
V. Pneumatic
BATTERY
GUNNER
MAIN
COMPUTING
T. Braking
A. Propulsion
 BRACING
M. Auxiliary
L. Electronic Systems
J. Ventilation/Air Conditioning
D. Electrical Systems
INSTRUCTOR
HVY
MANUAL
Q. Outfit
FLAT
 Engine
