REASON_FOR_WORK
""
000000-00531744
000000-0075E95F
000000-00793465
Accident
After Use Check
Ban
Battle Damage
CAST
Calibration
Cannibalisation
Closed No Action
Damage
During Use Check
Expedient Repair
Failure
Inspection
Manufacture
Modification
No Fault Found
Noise
Non Specific
OHM Response
Obsolescent
Obsolete
Quarantine
Reclamation
Refurbishment
Salvage
Servicing
Software
Training
Vibration
