USAGE_PARAMETER_NAME
*
0-30 MLC
2 Span L/R
28VDC (Hrs)
31-Normal MLC
40mm Other
A1A HP
A2A HP
AC3HY HP
AC3SU HP
APFSDS-T
APU Hrs
Activations
Arrests
BA DIAM
BA DRP
BA QTR Life
BFM
BVA Rds HP
BVA Rds LP
BVA2 Rds HP
BVA2 Rds LP
Blanks Fired
CHP Hrs Run
CROSSINGS
CS M32G
CS M33G
CS M34G
CS M35G
CS M44W
CS M45W
CS M46W
CS M47W
CUT AWAYS
Cycles
DESCENTS
DST LP
DbW Hrs
Drill Eng Fuel Drwn
Drill Eng Hrs Ctr
ECM (PP) HRS
EFC
EL and Caution
Engine Hours
Events Counter
Flights
Flying Hours
Fuel Drwn
Greater than normal
HESH LP
Hrs
Immersions
Incinerator Hrs Run
L16 AC3 HP
L17 AC3 HP
L8A1 A HP
LH Link Rem
LH Link Removed
LH Link Rep
LH Link Replaced
LH Links Added
Launch
Launch/Recs
Litres
Litres Pumped 1 (LH)
Litres Pumped 2 (RH)
Long Span L/R
Long Span Launch
Mines
Minutes
Mixer Eng Hrs Ctr
Mud Pup Eng Hrs Ctr
Mud Pup Fuel Drwn
NBC Operating Time
NTLLH
NTLRH
OBT Rds HP
OBT Rds LP
OBT1 Total Rds
OBT2 Total Rds
OCC Tray ETI(Hrs)
Odo
Op Time Hrs
PC1 P1
PC2 P2
PCP Operating Time
PCP Switch On Time
PRF1 HP
PRF2 HP
PULSES
Personnel
Power Time Hrs
Pumping Hours
RH Link Rem
RH Link Removed
RH Link Rep
RH Link Replaced
RH Links Added
ROCK FRD
Rds APDS
Rds DSRR
Rds HE
Rds HP CR2
Rds LP CR2
Rds NC/K CR2
Rds PRAC
Rds PRF HP
Rds PRF NP
Rds Total 40mm
Rds Total AS90
Rds Total CR2
Rds Total LT GUN
Rds Total RARDEN
Recoveries
Risk
Rnds Fd CH1
Rnds Fd CH2
Rnds Fd CH3
Rnds Fd CH4
Rnds Fd CH4.5
Rnds Fd CH5
Rnds Fd CHS
Rounds Fired
SCR
SH/PRAC LP
SMK LP
SRVC PRF HP
Standard Launch
Starts
TCS2
TCS3
TCS4
TCS5
TCS6
TCS7
TCS8
TT Operating Time
TWT Heater (Hrs)
TWT Voltage Hrs Run
TX Time (Hrs)
Track Odo
Tracked Crossings
Two Span Launch
US/UK CS8
Water Hours
Water Pump Hrs Run
Weld Eng Fuel Drwn
Weld Eng Hrs Ctr
Wheeled Crossings
