rule_id,table,columns,check,required,valid,tags,length,errorMessage
784,tc_mod_codes,STD_PROB_REPORT_ID,length,0,0,ADW-ICD-1.8,"{\"max\": 32}","Column(s) ['STD_PROB_REPORT_ID'] missing. Table has the following columns: ['MODID', 'PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'MODFAULTSTATE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'NSN', 'MODCODE', 'MODDESC', 'ASEPNUMBERSPECIFIC', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
782,tc_mod_codes,WORKCATEGORY,length,0,0,ADW-ICD-1.8,"{\"max\": 20}","Column(s) ['WORKCATEGORY'] missing. Table has the following columns: ['MODID', 'PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'MODFAULTSTATE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'NSN', 'MODCODE', 'MODDESC', 'ASEPNUMBERSPECIFIC', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
794,tc_mro_maint_mod_fault,ESCALATE_FAULT,length,0,0,ADW-ICD-1.8,"{\"max\": 5}","Column(s) ['ESCALATE_FAULT'] missing. Table has the following columns: ['FAULTID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'WORKCATEGORY', 'FAULTDESCRIPTION', 'LFDWENDDATE', 'ACTUALSTARTDATE', 'REPAIRUNIT', 'REPAIRUNITUIN', 'PLANNEDSTARTDATE', 'WORKOBJCOMPLETIONDATE', 'ESTIMATEDREPAIRTIME', 'FAULTREPAIRLEVEL', 'REASONFORWORK', 'DATEFAULTOCCURRED', 'FAULTCLOSEDBYNAME', 'FAULTCLOSEDBYSERVICE', 'FAULTCLOSEDBYRANK', 'FAULTCLOSEDBYTRADE', 'REPAIRSECTION', 'REPAIRSECTIONLOCATION', 'DELETEFLAG', 'LASTQUERIEDDATE', 'ASSETID', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
797,tc_mro_maint_mod_fault,ESCALATE_FAULT,length,0,0,ADW-ICD-1.8,"{\"max\": 5}","Column(s) ['ESCALATE_FAULT'] missing. Table has the following columns: ['FAULTID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'WORKCATEGORY', 'FAULTDESCRIPTION', 'LFDWENDDATE', 'ACTUALSTARTDATE', 'REPAIRUNIT', 'REPAIRUNITUIN', 'PLANNEDSTARTDATE', 'WORKOBJCOMPLETIONDATE', 'ESTIMATEDREPAIRTIME', 'FAULTREPAIRLEVEL', 'REASONFORWORK', 'DATEFAULTOCCURRED', 'FAULTCLOSEDBYNAME', 'FAULTCLOSEDBYSERVICE', 'FAULTCLOSEDBYRANK', 'FAULTCLOSEDBYTRADE', 'REPAIRSECTION', 'REPAIRSECTIONLOCATION', 'DELETEFLAG', 'LASTQUERIEDDATE', 'ASSETID', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
793,tc_mro_maint_mod_fault,FAULT_STATE,length,0,0,ADW-ICD-1.8,"{\"max\": 2000}","Column(s) ['FAULT_STATE'] missing. Table has the following columns: ['FAULTID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'WORKCATEGORY', 'FAULTDESCRIPTION', 'LFDWENDDATE', 'ACTUALSTARTDATE', 'REPAIRUNIT', 'REPAIRUNITUIN', 'PLANNEDSTARTDATE', 'WORKOBJCOMPLETIONDATE', 'ESTIMATEDREPAIRTIME', 'FAULTREPAIRLEVEL', 'REASONFORWORK', 'DATEFAULTOCCURRED', 'FAULTCLOSEDBYNAME', 'FAULTCLOSEDBYSERVICE', 'FAULTCLOSEDBYRANK', 'FAULTCLOSEDBYTRADE', 'REPAIRSECTION', 'REPAIRSECTIONLOCATION', 'DELETEFLAG', 'LASTQUERIEDDATE', 'ASSETID', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
796,tc_mro_maint_mod_fault,FAULT_STATE,length,0,0,ADW-ICD-1.8,"{\"max\": 2000}","Column(s) ['FAULT_STATE'] missing. Table has the following columns: ['FAULTID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'WORKCATEGORY', 'FAULTDESCRIPTION', 'LFDWENDDATE', 'ACTUALSTARTDATE', 'REPAIRUNIT', 'REPAIRUNITUIN', 'PLANNEDSTARTDATE', 'WORKOBJCOMPLETIONDATE', 'ESTIMATEDREPAIRTIME', 'FAULTREPAIRLEVEL', 'REASONFORWORK', 'DATEFAULTOCCURRED', 'FAULTCLOSEDBYNAME', 'FAULTCLOSEDBYSERVICE', 'FAULTCLOSEDBYRANK', 'FAULTCLOSEDBYTRADE', 'REPAIRSECTION', 'REPAIRSECTIONLOCATION', 'DELETEFLAG', 'LASTQUERIEDDATE', 'ASSETID', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
51,tc_part_type,DMC,length,0,0,,"{\"max\": 250}","Column(s) ['DMC'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
48,tc_part_type,EBSITEM,length,0,0,,"{\"max\": 5}","Column(s) ['EBSITEM'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
43,tc_part_type,LEARCODEDESC,length,0,0,,"{\"max\": 500}","Column(s) ['LEARCODEDESC'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
45,tc_part_type,LIFTINGTACKLE,length,0,0,,"{\"max\": 5}","Column(s) ['LIFTINGTACKLE'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
