table,column,type
SERVICING_CERT_REQMTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SERVICING_CERT_REQMTS,SERVICING_CERT_REQMT_ID,VARCHAR2(80)
EO_LEVELS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_PROCESSES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TRADE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TRADE_CODES,YEAR,"NUMBER(22,4)"
ITEM_ERC_INST_HISTORY,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_ERC_INST_HISTORY,VERSION_NUMBER,"NUMBER(22,10)"
DEFAULT_LABOR,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_LABOR,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CERTIFICATION_POINT_AUTHS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_FUELLING_RECORDS,CURRENT_MILEAGE,"NUMBER(22,11)"
ITEM_FUELLING_RECORDS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_FUELLING_RECORDS,FUEL_COST,"NUMBER(22,20)"
ITEM_FUELLING_RECORDS,SOURCE_REFERENCE,VARCHAR2(20)
REPLENISHMENT_DEFINITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
USAGE_INTERVALS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_CENTER_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_PERFORMED_AUTHS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
COMPASS_HEADINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SYSTEMS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FSC_WORK_ORDERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_PENALTY_HISTORIES,BASE_TASK_CODE,VARCHAR2(50)
TASK_PENALTY_HISTORIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_PENALTY_HISTORIES,INTERVAL_TYPE,VARCHAR2(2)
SEVERITY_SYMBOLS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DELAY_CODES,DELAY_TYPE,VARCHAR2(20)
DELAY_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DELAY_CODES,SECURITY_REQUIRED,CHAR(1)
ACQUISITION_ADVICE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ACQUISITION_ADVICE_CODES,VERSION_NUMBER,"NUMBER(22,10)"
WORK_ORDER_LABOR,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_LABOR,LABOR_RATE,"NUMBER(22,15)"
WORK_STEPS,ALERT_FREQUENCY,"NUMBER(22,3)"
WORK_STEPS,BASIC_TASK_UNIT,VARCHAR2(3)
WORK_STEPS,BIN_LOCATION,VARCHAR2(40)
WORK_STEPS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_STEPS,ESTIMATED_COMPLETION_DATE,DATE
WORK_STEPS,ESTIMATED_STARTED_ON,DATE
WORK_STEPS,FACTORY_WORK_CODE,VARCHAR2(20)
WORK_STEPS,FLOW_TIME,"NUMBER(22,12)"
WORK_STEPS,LABOR_DEPARTMENT,VARCHAR2(20)
WORK_STEPS,OCCURENCE_FACTOR,"NUMBER(22,5)"
WORK_STEPS,OPERATION_CODE,VARCHAR2(20)
WORK_STEPS,QUANTITY_COMPLETE,"NUMBER(22,10)"
WORK_STEPS,QUANTITY_READY,"NUMBER(22,10)"
WORK_STEPS,QUANTITY_REJECT,"NUMBER(22,10)"
WORK_STEPS,RESEND_ALERT,CHAR(1)
WORK_STEPS,RUN_TIME,"NUMBER(22,12)"
WORK_STEPS,SETUP_TIME,"NUMBER(22,12)"
WORK_STEPS,SUB_LOCATION,VARCHAR2(40)
WORK_STEPS,WORK_BAY,VARCHAR2(20)
EO_DOCUMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
USAGE_PROFILE_HEADERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_PARTS_USED,BASE_TASK_CODE,VARCHAR2(50)
TASK_PARTS_USED,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
COMPASS_CALIBRATIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PHRASE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PHRASE_CODES,VERSION_NUMBER,"NUMBER(22,10)"
PPI_DATA,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FLIGHT_SCHD_CONFIG_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
BOM_MAPPINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_USAGE_HEADERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_USAGE_HEADERS,FLIGHT_DATE,DATE
AIRCRAFT_READINESS_LOGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_COMMENTS,CREATED_BY,VARCHAR2(20)
DEFAULT_COMMENTS,CREATED_ON,DATE
DEFAULT_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_COMMENTS,LAST_CHANGED_BY,VARCHAR2(20)
CANNIBALIZATION_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EIAC_WORK_UNIT_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CLAIM_TASKS,BASE_TASK_CODE,VARCHAR2(50)
CLAIM_TASKS,CLAIM_BASE_TASK_CODE,VARCHAR2(50)
CLAIM_TASKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DATA_SECURITY_ENTRIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DATA_SECURITY_ENTRIES,OTHER_UPDATES_ENABLED,CHAR(1)
DATA_SECURITY_ENTRIES,VERSION_NUMBER,"NUMBER(22,10)"
EIAC_SYS_SUBSYSTEMS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
REPLENISHMENT_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ENVIRONMENT_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
COMPASS_SWINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_WEIGHT_BALANCES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_SCHEDULE_ENTRIES,BASE_TASK_CODE,VARCHAR2(50)
TASK_SCHEDULE_ENTRIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_SCHEDULE_ENTRIES,RECALL_CODE,VARCHAR2(8)
TASK_SCHEDULE_ENTRIES,SHOP_BENCH_CODE,VARCHAR2(20)
STRUCTURE_POSITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CUST,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CUST,VERSION_NUMBER,"NUMBER(22,10)"
DESIGNED_POSITION_TASKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
