,db,table,column,completeness,dataType,dataTypeBool,dataTypeFloat,dataTypeInt,dataTypeStr,dataTypeUnknown,distinctValues,min,max,stdDev,hist,hasHist
10,GoldESP,ACQUISITION_ADVICE_CODES,LAST_CHANGED_BY,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""GOLDADMIN"",""count"":26,""ratio"":1.0}]",True
11,GoldESP,ACQUISITION_ADVICE_CODES,LAST_CHANGED_ON,1.0,String,0,0,0,26,0,1,,,,"[{""value"":""07-JUN-19"",""count"":26,""ratio"":1.0}]",True
12,GoldESP,ACQUISITION_ADVICE_CODES,TYPE_SOS,1.0,String,0,0,0,26,0,5,,,,"[{""value"":""E"",""count"":1,""ratio"":0.03846154},{""value"":""X"",""count"":1,""ratio"":0.03846154},{""value"":""C"",""count"":13,""ratio"":0.5},{""value"":""R"",""count"":10,""ratio"":0.3846154},{""value"":""D"",""count"":1,""ratio"":0.03846154}]",True
13,GoldESP,ACQUISITION_ADVICE_CODES,TYPE_SOS_OVERRIDE,0.0,Unknown,0,0,0,0,26,0,,,,,False
14,GoldESP,ACTION_TAKEN_CODES,ACTION_TAKEN_CODE,1.0,String,0,0,36,3,0,41,,,,"[{""value"":""45"",""count"":1,""ratio"":0.025641026},{""value"":""34"",""count"":1,""ratio"":0.025641026},{""value"":""84"",""count"":1,""ratio"":0.025641026},{""value"":""TR"",""count"":1,""ratio"":0.025641026},{""value"":""73"",""count"":1,""ratio"":0.025641026},{""value"":""19"",""count"":1,""ratio"":0.025641026},{""value"":""23"",""count"":1,""ratio"":0.025641026},{""value"":""15"",""count"":1,""ratio"":0.025641026},{""value"":""44"",""count"":1,""ratio"":0.025641026},{""value"":""33"",""count"":1,""ratio"":0.025641026},{""value"":""26"",""count"":1,""ratio"":0.025641026},{""value"":""37"",""count"":1,""ratio"":0.025641026},{""value"":""13"",""count"":1,""ratio"":0.025641026},{""value"":""46"",""count"":1,""ratio"":0.025641026},{""value"":""24"",""count"":1,""ratio"":0.025641026},{""value"":""35"",""count"":1,""ratio"":0.025641026},{""value"":""16"",""count"":1,""ratio"":0.025641026},{""value"":""79"",""count"":1,""ratio"":0.025641026},{""value"":""72"",""count"":1,""ratio"":0.025641026},{""value"":""AF"",""count"":1,""ratio"":0.025641026},{""value"":""03"",""count"":1,""ratio"":0.025641026},{""value"":""21"",""count"":1,""ratio"":0.025641026},{""value"":""43"",""count"":1,""ratio"":0.025641026},{""value"":""71"",""count"":1,""ratio"":0.025641026},{""value"":""80"",""count"":1,""ratio"":0.025641026},{""value"":""49"",""count"":1,""ratio"":0.025641026},{""value"":""36"",""count"":1,""ratio"":0.025641026},{""value"":""17"",""count"":1,""ratio"":0.025641026},{""value"":""BF"",""count"":1,""ratio"":0.025641026},{""value"":""14"",""count"":1,""ratio"":0.025641026},{""value"":""31"",""count"":1,""ratio"":0.025641026},{""value"":""53"",""count"":1,""ratio"":0.025641026},{""value"":""20"",""count"":1,""ratio"":0.025641026},{""value"":""27"",""count"":1,""ratio"":0.025641026},{""value"":""70"",""count"":1,""ratio"":0.025641026},{""value"":""81"",""count"":1,""ratio"":0.025641026},{""value"":""18"",""count"":1,""ratio"":0.025641026},{""value"":""74"",""count"":1,""ratio"":0.025641026},{""value"":""01"",""count"":1,""ratio"":0.025641026}]",True
15,GoldESP,ACTION_TAKEN_CODES,DESCRIPTION,1.0,String,0,0,0,39,0,38,,,,"[{""value"":""LAST ITEM REPLACED U/S ITEM IS T3/4"",""count"":1,""ratio"":0.025641026},{""value"":""BEFORE FLIGHT INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY MOD/STI/SI"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU R2"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED IN SITU"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM IS SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT ITEM TO LIM LOG"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY ROLE CHANGE"",""count"":1,""ratio"":0.025641026},{""value"":""SOFTWARE FAULT, FAULT NOT RECTIFIED"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASS/EQUIP REP U/S ITEM FOR INVEST"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT CLEARED ITSELF DURING INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT ELIMINATED/SYSTEM NOT PROVEN/CONCESSION GRANTED"",""count"":1,""ratio"":0.025641026},{""value"":""NO FAULT FOUND AFTER CHECK / TEST"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED R2"",""count"":1,""ratio"":0.025641026},{""value"":""AFTER FLIGHT INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""MINOR ITEMS REPLACED / REPAIRED"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU R3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED RETAINED INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED R3/4, BUR OR RADFAULT"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY RADREPAIR"",""count"":1,""ratio"":0.025641026},{""value"":""BAY TESTED - CONFORMED SERVICEABLE"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED ON SEPARATE JOBCARD"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM R3/4, BUR OR RADREPLACE"",""count"":1,""ratio"":0.025641026},{""value"":""ADJUSTED"",""count"":1,""ratio"":0.025641026},{""value"":""TURN-ROUND INSPECTION"",""count"":1,""ratio"":0.025641026},{""value"":""ECU REPLACED U/S ECU FOR INVEST"",""count"":1,""ratio"":0.025641026},{""value"":""ROBBED ITEM REPLACED"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASS/EQUIP REP U/S ITEM SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASSEMBLY EQUIP REPLACED U/S ITEM R3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT ITEM TO ADF LOG"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED SCRAP"",""count"":1,""ratio"":0.025641026},{""value"":""RECTIFIED BY SCHEDULED MAINTENANCE"",""count"":1,""ratio"":0.025641026},{""value"":""HIGHER ASSEMBLY EQUIP REPLACED U/S ITEM R2"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM RETAINED FOR INVESTIGATION"",""count"":1,""ratio"":0.025641026},{""value"":""LAST ITEM REPLACED U/S ITEM R2"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED T3/4"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECTIFIED, ITEM CATEGORISED RETURN TO MANUFACTURER"",""count"":1,""ratio"":0.025641026},{""value"":""FAULT NOT RECT HIGHER ASS/EQUIP R3/4"",""count"":1,""ratio"":0.025641026}]",True
16,GoldESP,ACTION_TAKEN_CODES,EDWEFFECTIVEFROMTS,1.0,String,0,0,0,39,0,1,,,,"[{""value"":""16-DEC-20"",""count"":39,""ratio"":1.0}]",True
17,GoldESP,ACTION_TAKEN_CODES,EDWEFFECTIVETOTS,0.0,Unknown,0,0,0,0,39,0,,,,,False
18,GoldESP,ACTION_TAKEN_CODES,EDWLOADTS,1.0,String,0,0,0,39,0,1,,,,"[{""value"":""16-DEC-20"",""count"":39,""ratio"":1.0}]",True
19,GoldESP,ACTION_TAKEN_CODES,EDWSEQ_NO,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":39,""ratio"":1.0}]",True
20,GoldESP,ACTION_TAKEN_CODES,EDWSOFT_DEL_IND,1.0,Integral,0,0,0,0,0,1,0.0,0.0,0.0,"[{""value"":""0"",""count"":39,""ratio"":1.0}]",True
21,GoldESP,ACTION_TAKEN_CODES,EDWSTG_ROW_OP,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":39,""ratio"":1.0}]",True
22,GoldESP,ACTION_TAKEN_CODES,FLIGHT_SERVICING,1.0,String,0,0,0,39,0,2,,,,"[{""value"":""N"",""count"":36,""ratio"":0.9230769},{""value"":""Y"",""count"":3,""ratio"":0.07692308}]",True
23,GoldESP,ACTION_TAKEN_CODES,LAST_CHANGED_ON,0.25641027,String,0,0,0,10,29,1,,,,"[{""value"":""30-JUL-14"",""count"":10,""ratio"":0.25641027},{""value"":""NullValue"",""count"":29,""ratio"":0.74358976}]",True
24,GoldESP,ACTION_TAKEN_CODES,NO_FAULT_FOUND,1.0,String,0,0,0,39,0,2,,,,"[{""value"":""Y"",""count"":1,""ratio"":0.025641026},{""value"":""N"",""count"":38,""ratio"":0.974359}]",True
25,GoldESP,ACTION_TAKEN_CODES,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":39,""ratio"":1.0}]",True
26,GoldESP,AIRCRAFT_MASTER_LIVES,EDWEFFECTIVEFROMTS,1.0,String,0,0,0,16207,0,549,,,,,False
27,GoldESP,AIRCRAFT_MASTER_LIVES,EDWEFFECTIVETOTS,0.0,Unknown,0,0,0,0,16207,0,,,,,False
28,GoldESP,AIRCRAFT_MASTER_LIVES,EDWLOADTS,1.0,String,0,0,0,16207,0,530,,,,,False
29,GoldESP,AIRCRAFT_MASTER_LIVES,EDWSEQ_NO,1.0,Integral,0,0,0,0,0,404,1.0,487.0,74.14809758865023,,False
30,GoldESP,AIRCRAFT_MASTER_LIVES,EDWSOFT_DEL_IND,1.0,Integral,0,0,0,0,0,1,0.0,0.0,0.0,"[{""value"":""0"",""count"":16207,""ratio"":1.0}]",True
31,GoldESP,AIRCRAFT_MASTER_LIVES,EDWSTG_ROW_OP,1.0,Integral,0,0,0,0,0,2,1.0,2.0,0.4630443027308687,"[{""value"":""1"",""count"":11161,""ratio"":0.68865305},{""value"":""2"",""count"":5046,""ratio"":0.31134695}]",True
32,GoldESP,AIRCRAFT_MASTER_LIVES,INTERVAL_TYPE,1.0,String,0,0,0,16207,0,182,,,,,False
33,GoldESP,AIRCRAFT_MASTER_LIVES,ITEM_ID,1.0,String,0,0,1138,15069,0,937,,,,,False
34,GoldESP,AIRCRAFT_MASTER_LIVES,LAST_CHANGED_ON,0.94181526,String,0,0,0,15264,943,979,,,,,False
35,GoldESP,AIRCRAFT_MASTER_LIVES,LIFE,1.0,String,0,12496,0,3711,0,5860,,,,,False
36,GoldESP,AIRCRAFT_MASTER_LIVES,LIFE_DECIMAL,1.0,Fractional,0,0,0,0,0,5444,-15.0,6701862.0,140986.07820702178,,False
37,GoldESP,AIRCRAFT_MASTER_LIVES,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,598,1.0,686.0,120.63004578927428,,False
