,db,table,column,completeness,dataType,dataTypeBool,dataTypeFloat,dataTypeInt,dataTypeStr,dataTypeUnknown,distinctValues,min,max,stdDev,hist,hasHist
10,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,FLIGHT_SERVICING,1.0,String,0,0,0,39,0,2,,,,"[{""value"":""N"",""count"":36,""ratio"":0.9230769},{""value"":""Y"",""count"":3,""ratio"":0.07692308}]",True
11,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,LAST_CHANGED_ON,0.25641027,String,0,0,0,10,29,1,,,,"[{""value"":""30-JUL-14"",""count"":10,""ratio"":0.25641027},{""value"":""NullValue"",""count"":29,""ratio"":0.74358976}]",True
12,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,NO_FAULT_FOUND,1.0,String,0,0,0,39,0,2,,,,"[{""value"":""Y"",""count"":1,""ratio"":0.025641026},{""value"":""N"",""count"":38,""ratio"":0.974359}]",True
13,GoldESP Raw,ACTION_TAKEN_CODES_DATA_TABLE,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,1,1.0,1.0,0.0,"[{""value"":""1"",""count"":39,""ratio"":1.0}]",True
14,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,INTERVAL_TYPE,1.0,String,0,0,0,16212,0,182,,,,,False
15,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,ITEM_ID,1.0,String,0,0,1138,15074,0,938,,,,,False
16,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,LAST_CHANGED_ON,0.94386876,String,0,0,0,15302,910,1004,,,,,False
17,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,LIFE,1.0,String,0,12498,0,3714,0,5797,,,,,False
18,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,LIFE_DECIMAL,1.0,Fractional,0,0,0,0,0,5277,-15.0,6707262.0,142868.5120885668,,False
19,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DATA_TABLE,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,600,1.0,702.0,124.57041525599146,,False
20,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DEL_DATA_TABLE,DELETION_CREATED_ON,1.0,String,0,0,0,60,0,5,,,,"[{""value"":""03-AUG-23"",""count"":1,""ratio"":0.016666668},{""value"":""10-JUL-23"",""count"":1,""ratio"":0.016666668},{""value"":""20-SEP-23"",""count"":9,""ratio"":0.15},{""value"":""20-JUL-23"",""count"":48,""ratio"":0.8},{""value"":""25-SEP-23"",""count"":1,""ratio"":0.016666668}]",True
21,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DEL_DATA_TABLE,INTERVAL_TYPE,1.0,String,0,0,0,60,0,3,,,,"[{""value"":""OZ"",""count"":58,""ratio"":0.96666664},{""value"":""DL"",""count"":1,""ratio"":0.016666668},{""value"":""EH"",""count"":1,""ratio"":0.016666668}]",True
22,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DEL_DATA_TABLE,ITEM_ID,1.0,String,0,0,0,60,0,62,,,,"[{""value"":""PAMG0000044"",""count"":1,""ratio"":0.016666668},{""value"":""S7020007806"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0286434"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0266228"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0240831"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0001567"",""count"":1,""ratio"":0.016666668},{""value"":""S7020004893"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0198205"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0209672"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572719"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0117702"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0275461"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0002335"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0268399"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0288716"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0015884"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0244470"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0200097"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0238593"",""count"":1,""ratio"":0.016666668},{""value"":""AWWT0245325"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0222218"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572805"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0251730"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0197785"",""count"":1,""ratio"":0.016666668},{""value"":""S7020000001"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572925"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0242481"",""count"":1,""ratio"":0.016666668},{""value"":""S8150010067"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0241052"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0249347"",""count"":1,""ratio"":0.016666668},{""value"":""BOSC0018405"",""count"":1,""ratio"":0.016666668},{""value"":""S8150002759"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0285100"",""count"":1,""ratio"":0.016666668},{""value"":""S8150014245"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0197783"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0524809"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572586"",""count"":1,""ratio"":0.016666668},{""value"":""S6700000001"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572676"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0281005"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572762"",""count"":1,""ratio"":0.016666668},{""value"":""S7020001710"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0245922"",""count"":1,""ratio"":0.016666668},{""value"":""S7020019086"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0199314"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0260434"",""count"":1,""ratio"":0.016666668},{""value"":""NAED0064372"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0012651"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572543"",""count"":1,""ratio"":0.016666668},{""value"":""NAED0058206"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0263581"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0201959"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0238240"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0099543"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0205504"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0021469"",""count"":1,""ratio"":0.016666668},{""value"":""DATCON0207116"",""count"":1,""ratio"":0.016666668},{""value"":""S8150005521"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572629"",""count"":1,""ratio"":0.016666668},{""value"":""WATERS231572882"",""count"":1,""ratio"":0.016666668}]",True
23,GoldESP Raw,AIRCRAFT_MASTER_LIVES_DEL_DATA_TABLE,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,4,2.0,10.0,2.322833518691246,"[{""value"":""2"",""count"":49,""ratio"":0.81666666},{""value"":""4"",""count"":1,""ratio"":0.016666668},{""value"":""10"",""count"":1,""ratio"":0.016666668},{""value"":""8"",""count"":9,""ratio"":0.15}]",True
