id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
639,4,TC_WORK_REQUESTS,length,JOBCARDSTATUS,,,ICD-1.2,"{\"max\": 32}",2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
640,4,TC_WORK_REQUESTS,complete,JOBCARDSTATUS,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
641,4,TC_WORK_REQUESTS,unique,JOBCARDSTATUS,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
636,4,TC_WORK_REQUESTS,length,REPAIRORGANISATION,,,ICD-1.2,"{\"max\": 60}",2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
637,4,TC_WORK_REQUESTS,complete,REPAIRORGANISATION,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
638,4,TC_WORK_REQUESTS,unique,REPAIRORGANISATION,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
745,4,TC_WORK_REQUESTS,length,REPAIR_ORGANISATION_ID,,,ADW-ICD-1.8,"{\"max\": 32}",2024-06-25T13:29:24.075Z,dq,2024-06-25T13:29:24.075Z,dq,,
744,4,TC_WORK_REQUESTS,complete,REQUIREDBYDATE,,,ADW-ICD-1.8,,2024-06-25T13:29:24.075Z,dq,2024-06-25T13:29:24.075Z,dq,,
633,4,TC_WORK_REQUESTS,length,WORKREQUESTID,,,ICD-1.2,"{\"max\": 32}",2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
634,4,TC_WORK_REQUESTS,complete,WORKREQUESTID,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
635,4,TC_WORK_REQUESTS,unique,WORKREQUESTID,,,ICD-1.2,,2024-06-25T15:04:13.072Z,dq,2024-06-25T15:04:13.072Z,dq,,
